sku,name,description,unit,volume_l,price_eur,active,category,material_type,unit_package,tags
sku_reiniger_1L,Pinselreiniger 1 L,Lösemittelhaltig zur Reinigung von Werkzeugen,l,1,8.9,True,cleaning,brush_cleaner,Dose,"pinselreiniger;lösemittel;werkzeug"
sku_maleracryl_310ml,Maleracryl 310 ml,Acryl-Dichtstoff für Anschlussfugen,l,0.31,4.5,True,sealant,acryl_sealant,Kartusche,"maleracryl;fugen;innen"
sku_silikon_310ml,Sanitärsilikon 310 ml,Schimmelresistentes Silikon für Nassräume,l,0.31,6.9,True,sealant,silicone_sealant,Kartusche,"silikon;sanitär;nassräume"
sku_schleifpapier_10x,Schleifpapier K120 10er Pack,Feinschliff vor dem Anstrich,stk,10,5.9,True,abrasive,sandpaper_k120,Pack,"schleifpapier;k120;feinschliff"
sku_grundierung_1L,Haftgrund 1 L,Grundierung für Holz und Metall,l,1,9.5,True,primer,primer_universal,Dose,"haftgrund;holz;metall"
sku_grundierung_5L,Haftgrund 5 L,Grundierung für Holz und Metall,l,5,34.5,True,primer,primer_universal,Eimer,"haftgrund;holz;metall;groß"
sku_rolle_bügel_set,Farbrollen-Set 25 cm mit Bügel,Komplettset Rolle + Griff,stk,1,9.9,True,tools,paint_roller_set,Set,"rolle;25cm;bügel;set"
sku_verlängerung_2m,Teleskopstange 2 m,Verlängerungsstange für Farbrolle,m,2,14.9,True,tools,extension_pole,Stange,"teleskopstange;2m;verlängerung"
sku_verlängerung_4m,Teleskopstange 4 m,Verlängerungsstange für hohe Wände,m,4,19.9,True,tools,extension_pole,Stange,"teleskopstange;4m;verlängerung"
sku_eckpinsel_angled,Eckpinsel 35 mm,Schrägpinsel für präzises Arbeiten an Kanten,stk,1,3.9,True,tools,brush_angle,Stück,"pinsel;ecke;35mm;präzision"
sku_abdeckband_uv,UV-Beständiges Abdeckband,Für Außenarbeiten,m,50,4.9,True,tape,tape_uv,Rolle,"abklebeband;uv-beständig;außen"
sku_dsp_grau_10,Dispersionsfarbe grau 10 L,Innenfarbe (grauer Farbton),l,10,62.9,True,paint,dispersion_paint_gray,Eimer,"innen;grau;wand;dispersionsfarbe"
sku_dsp_hellgrau_10,Dispersionsfarbe hellgrau 10 L,Innenfarbe (hellgrauer Farbton),l,10,62.9,True,paint,dispersion_paint_lightgray,Eimer,"innen;hellgrau;wand;dispersionsfarbe"
